;price ;dividend ;earnings ;cpi;rates;;;;
mars-93;465.95;12.58;21.89;145.80;5.77;;;;
avr-93;472.99;12.62;22.16;146.20;5.75;;;;
mai-93;471.58;12.67;22.43;146.70;5.97;;;;
juin-93;463.81;12.71;22.71;147.20;6.48;;;;
juil-93;447.23;12.75;23.54;147.40;6.97;;;;
août-93;450.90;12.80;24.37;147.50;7.18;;;;
sept-93;454.83;12.84;25.20;148.00;7.10;;;;
oct-93;451.40;12.87;25.91;148.40;7.30;;;;
nov-93;464.24;12.90;26.62;149.00;7.24;;;;
déc-93;466.96;12.92;27.33;149.40;7.46;;;;
janv-94;463.81;13.01;28.42;149.50;7.74;;;;
févr-94;461.01;13.10;29.51;149.70;7.96;;;;
mars-94;455.19;13.17;30.60;149.70;7.81;;;;
avr-94;465.25;13.18;31.25;150.30;7.78;;;;
mai-94;481.92;13.18;31.90;150.90;7.47;;;;
juin-94;493.15;13.17;32.55;151.40;7.20;;;;
juil-94;507.91;13.24;33.18;151.90;7.06;;;;
août-94;523.81;13.31;33.80;152.20;6.63;;;;
sept-94;539.35;13.36;34.43;152.50;6.17;;;;
oct-94;557.37;13.44;34.68;152.50;6.28;;;;
nov-94;559.11;13.51;34.93;152.90;6.49;;;;
déc-94;578.77;13.58;35.18;153.20;6.20;;;;
janv-95;582.92;13.65;34.77;153.70;6.04;;;;
févr-95;595.53;13.72;34.37;153.60;5.93;;;;
mars-95;614.57;13.79;33.96;153.50;5.71;;;;
avr-95;614.42;13.89;33.99;154.40;5.65;;;;
mai-95;649.54;14.00;34.01;154.90;5.81;;;;
juin-95;647.07;14.10;34.04;155.70;6.27;;;;
juil-95;647.17;14.16;34.33;156.30;6.51;;;;
août-95;661.23;14.21;34.62;156.60;6.74;;;;
sept-95;668.50;14.27;34.91;156.70;6.91;;;;
oct-95;644.07;14.40;35.27;157.00;6.87;;;;
nov-95;662.68;14.53;35.64;157.30;6.64;;;;
déc-95;674.88;14.66;36.00;157.80;6.83;;;;
janv-96;701.46;14.74;36.91;158.30;6.53;;;;
févr-96;735.67;14.82;37.82;158.60;6.20;;;;
mars-96;743.25;14.90;38.73;158.60;6.30;;;;
avr-96;766.22;14.95;39.23;159.10;6.58;;;;
mai-96;798.39;15.01;39.74;159.60;6.42;;;;
juin-96;792.16;15.06;40.24;160.00;6.69;;;;
juil-96;763.93;15.09;40.34;160.20;6.89;;;;
août-96;833.09;15.13;40.45;160.10;6.71;;;;
sept-96;876.29;15.16;40.55;160.30;6.49;;;;
oct-96;925.29;15.22;40.58;160.50;6.22;;;;
nov-96;927.24;15.27;40.61;160.80;6.30;;;;
déc-96;937.02;15.33;40.64;161.20;6.21;;;;
janv-97;951.16;15.39;40.33;161.60;6.03;;;;
févr-97;938.92;15.44;40.03;161.50;5.88;;;;
mars-97;962.37;15.50;39.72;161.30;5.81;;;;
avr-97;963.36;15.55;39.66;161.60;5.54;;;;
mai-97;1023.74;15.60;39.60;161.90;5.57;;;;
juin-97;1076.83;15.64;39.54;162.20;5.65;;;;
juil-97;1112.20;15.75;39.35;162.50;5.64;;;;
août-97;1108.42;15.85;39.16;162.80;5.65;;;;
sept-97;1108.39;15.95;38.97;163.00;5.50;;;;
oct-97;1156.58;16.02;38.68;163.20;5.46;;;;
nov-97;1074.62;16.08;38.38;163.40;5.34;;;;
déc-97;1020.64;16.14;38.09;163.60;4.81;;;;
janv-98;1032.47;16.17;37.96;164.00;4.53;;;;
févr-98;1144.43;16.18;37.84;164.00;4.83;;;;
mars-98;1190.05;16.20;37.71;163.90;4.65;;;;
avr-98;1248.77;16.28;37.93;164.30;4.72;;;;
mai-98;1246.58;16.37;38.16;164.50;5.00;;;;
juin-98;1281.66;16.45;38.38;165.00;5.23;;;;
juil-98;1334.76;16.45;39.26;166.20;5.18;;;;
août-98;1332.07;16.45;40.14;166.20;5.54;;;;
sept-98;1322.55;16.45;41.02;166.20;5.90;;;;
oct-98;1380.99;16.51;42.00;166.70;5.79;;;;
nov-98;1327.49;16.58;42.98;167.10;5.94;;;;
déc-98;1318.17;16.64;43.96;167.90;5.92;;;;
janv-99;1300.01;16.66;45.36;168.20;6.11;;;;
févr-99;1391.00;16.67;46.77;168.30;6.03;;;;
mars-99;1428.68;16.69;48.17;168.30;6.28;;;;
avr-99;1425.59;16.71;49.10;168.80;6.66;;;;
mai-99;1388.87;16.74;50.02;169.80;6.52;;;;
juin-99;1442.21;16.76;50.95;171.20;6.26;;;;
juil-99;1461.36;16.74;51.27;171.30;5.99;;;;
août-99;1418.48;16.72;51.60;171.50;6.44;;;;
sept-99;1461.96;16.70;51.92;172.40;6.10;;;;
oct-99;1473.00;16.58;52.51;172.80;6.05;;;;
nov-99;1485.46;16.47;53.11;172.80;5.83;;;;
déc-99;1468.05;16.35;53.70;173.70;5.80;;;;
